,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Date,DateTime
55,15:00:00,79,77,94,14,2, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 15:00:00
56,15:30:00,79,77,94,14,3, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 15:30:00
57,16:00:00,81,75,84,14,3, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 16:00:00
58,16:30:00,81,77,89,14,2, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 16:30:00
59,17:00:00,77,75,94,14,3, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 17:00:00
60,17:30:00,75,75,100,14,3, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 17:30:00
61,18:00:00,77,77,100,14,1, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 18:00:00
62,18:30:00,77,77,100,14,2, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 18:30:00
63,19:00:00,77,77,100,14,2, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 19:00:00
64,19:30:00,75,75,100,2,6, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 19:30:00
65,20:00:00,75,75,100,2,5, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 20:00:00
66,20:30:00,75,75,100,14,3, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 20:30:00
67,21:00:00,75,75,100,2,6, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 21:00:00
68,21:30:00,75,75,100,14,3, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 21:30:00
69,22:00:00,77,75,94,5,5, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 22:00:00
70,22:30:00,77,75,94,2,6, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 22:30:00
71,23:00:00,75,75,100,2,7, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 23:00:00
72,23:30:00,75,75,100,2,7, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 23:30:00
73,00:00:00,75,75,100,2,6, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 00:00:00
74,00:30:00,75,75,100,2,5, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 00:30:00
75,01:00:00,77,75,94,14,2, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 01:00:00
76,01:30:00,75,75,100,14,2, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 01:30:00
77,02:00:00,75,75,100,14,3, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 02:00:00
78,02:30:00,75,75,100,6,5, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 02:30:00
79,03:00:00,75,75,100,14,3, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 03:00:00
80,03:30:00,75,75,100,14,3, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 03:30:00
81,04:00:00,75,75,100,14,1, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 04:00:00
82,04:30:00,75,75,100,4,1, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 04:30:00
83,05:00:00,75,75,100,14,1, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 05:00:00
84,05:30:00,75,75,100,14,1, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 05:30:00
85,06:00:00,77,75,94,14,2, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 06:00:00
86,06:30:00,77,75,94,2,2, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 06:30:00
87,07:00:00,77,77,100,14,1, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 07:00:00
88,07:30:00,79,77,94,14,2, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 07:30:00
89,08:00:00,81,77,89,14,3, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 08:00:00
90,08:30:00,82,75,79,14,3, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 08:30:00
91,09:00:00,82,77,84,14,3, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 09:00:00
92,09:30:00,82,75,79,14,2, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 09:30:00
93,10:00:00,84,77,79,14,2, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 10:00:00
94,10:30:00,84,73,70,14,3, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 10:30:00
95,11:00:00,84,77,79,14,2, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 11:00:00
96,11:30:00,86,75,70,14,1, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 11:30:00
97,12:00:00,86,75,70,14,5, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 12:00:00
98,12:30:00,86,77,74,14,1, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 12:30:00
99,13:00:00,86,75,70,14,2, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 13:00:00
100,13:30:00,84,77,79,14,3, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 13:30:00
101,14:00:00,79,77,94,1,8, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 14:00:00
102,14:30:00,79,79,100,14,3, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 14:30:00
103,15:00:00,79,77,94,14,3, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 15:00:00
104,15:30:00,77,77,100,17,9, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 15:30:00
105,16:00:00,77,77,100,15,6, 0 mph,29.79, 0.0 in,2022-11-04,2022-11-04 16:00:00
106,16:30:00,79,77,94,14,2, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 16:30:00
107,17:00:00,79,77,94,5,5, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 17:00:00
108,17:30:00,79,77,94,2,5, 0 mph,29.82, 0.0 in,2022-11-04,2022-11-04 17:30:00
109,18:00:00,79,77,94,14,2, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 18:00:00
110,18:30:00,79,77,94,14,2, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 18:30:00
111,19:00:00,77,77,100,0,0, 0 mph,29.85, 0.0 in,2022-11-04,2022-11-04 19:00:00
112,19:30:00,81,77,89,3,6, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 19:30:00
113,20:00:00,79,77,94,10,6, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 20:00:00
114,20:30:00,81,75,84,3,6, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 20:30:00
115,21:00:00,79,75,89,10,6, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 21:00:00
116,21:30:00,81,75,84,10,6, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 21:30:00
117,22:00:00,79,75,89,10,7, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 22:00:00
118,22:30:00,79,75,89,3,6, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 22:30:00
119,23:00:00,79,75,89,3,5, 0 mph,29.91, 0.0 in,2022-11-04,2022-11-04 23:00:00
120,23:30:00,79,75,89,3,7, 0 mph,29.88, 0.0 in,2022-11-04,2022-11-04 23:30:00
121,00:00:00,79,77,94,14,3, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 00:00:00
122,00:30:00,79,77,94,10,6, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 00:30:00
123,01:00:00,79,77,94,10,5, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 01:00:00
124,01:30:00,79,77,94,10,5, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 01:30:00
125,02:00:00,77,77,100,14,2, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 02:00:00
126,02:30:00,77,77,100,10,5, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 02:30:00
127,03:00:00,77,75,94,3,2, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 03:00:00
128,03:30:00,77,75,94,10,3, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 03:30:00
129,04:00:00,77,75,94,3,3, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 04:00:00
130,04:30:00,77,75,94,14,2, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 04:30:00
131,05:00:00,77,77,100,0,0, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 05:00:00
132,05:30:00,79,75,89,0,0, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 05:30:00
133,06:00:00,77,75,94,17,2, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 06:00:00
134,06:30:00,79,75,89,14,1, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 06:30:00
135,07:00:00,79,77,94,16,2, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 07:00:00
136,07:30:00,81,77,89,14,3, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 07:30:00
137,08:00:00,81,75,84,14,1, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 08:00:00
138,08:30:00,81,77,89,14,1, 0 mph,29.85, 0.0 in,2022-11-02,2022-11-02 08:30:00
139,09:00:00,82,77,84,14,1, 0 mph,29.85, 0.0 in,2022-11-02,2022-11-02 09:00:00
140,09:30:00,82,77,84,6,1, 0 mph,29.85, 0.0 in,2022-11-02,2022-11-02 09:30:00
141,10:00:00,82,75,79,14,2, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 10:00:00
142,10:30:00,84,75,74,14,2, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 10:30:00
143,11:00:00,84,75,74,14,1, 0 mph,29.82, 0.0 in,2022-11-02,2022-11-02 11:00:00
144,11:30:00,86,75,70,16,2, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 11:30:00
145,12:00:00,88,75,66,14,1, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 12:00:00
146,13:00:00,86,75,70,14,1, 0 mph,29.73, 0.0 in,2022-11-02,2022-11-02 13:00:00
147,13:30:00,86,73,66,14,2, 0 mph,29.73, 0.0 in,2022-11-02,2022-11-02 13:30:00
148,14:00:00,88,75,66,14,2, 0 mph,29.7, 0.0 in,2022-11-02,2022-11-02 14:00:00
149,14:30:00,88,75,66,14,3, 0 mph,29.7, 0.0 in,2022-11-02,2022-11-02 14:30:00
150,15:00:00,88,73,62,14,1, 0 mph,29.7, 0.0 in,2022-11-02,2022-11-02 15:00:00
151,15:30:00,88,73,62,14,1, 0 mph,29.7, 0.0 in,2022-11-02,2022-11-02 15:30:00
152,16:00:00,88,75,66,14,3, 0 mph,29.7, 0.0 in,2022-11-02,2022-11-02 16:00:00
153,16:30:00,84,79,84,9,8, 0 mph,29.73, 0.0 in,2022-11-02,2022-11-02 16:30:00
154,17:00:00,84,77,79,9,9, 0 mph,29.73, 0.0 in,2022-11-02,2022-11-02 17:00:00
155,17:30:00,82,77,84,11,9, 0 mph,29.73, 0.0 in,2022-11-02,2022-11-02 17:30:00
156,18:00:00,82,77,84,9,7, 0 mph,29.73, 0.0 in,2022-11-02,2022-11-02 18:00:00
157,18:30:00,81,77,89,10,10, 0 mph,29.76, 0.0 in,2022-11-02,2022-11-02 18:30:00
158,19:30:00,81,75,84,10,8, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 19:30:00
159,20:00:00,81,75,84,11,8, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 20:00:00
160,20:30:00,81,75,84,10,7, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 20:30:00
161,21:00:00,79,75,89,10,7, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 21:00:00
162,21:30:00,81,75,84,10,7, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 21:30:00
163,22:00:00,79,75,89,10,7, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 22:00:00
164,22:30:00,79,75,89,10,6, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 22:30:00
165,23:00:00,79,75,89,10,7, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 23:00:00
166,23:30:00,79,75,89,10,7, 0 mph,29.79, 0.0 in,2022-11-02,2022-11-02 23:30:00
167,00:00:00,81,75,84,14,2, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 00:00:00
168,00:30:00,81,75,84,14,3, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 00:30:00
169,01:00:00,81,75,84,7,5, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 01:00:00
170,01:30:00,79,77,94,7,6, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 01:30:00
171,02:00:00,79,77,94,7,5, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 02:00:00
172,02:30:00,79,75,89,7,5, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 02:30:00
173,03:00:00,79,75,89,7,5, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 03:00:00
174,03:30:00,77,75,94,7,6, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 03:30:00
175,04:00:00,77,75,94,7,5, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 04:00:00
176,04:30:00,77,75,94,4,6, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 04:30:00
177,05:00:00,77,75,94,7,5, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 05:00:00
178,05:30:00,77,75,94,7,6, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 05:30:00
179,06:00:00,77,75,94,7,5, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 06:00:00
180,06:30:00,77,77,100,14,3, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 06:30:00
181,07:00:00,79,77,94,7,5, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 07:00:00
182,07:30:00,79,75,89,4,7, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 07:30:00
183,08:00:00,81,75,84,4,8, 0 mph,29.82, 0.0 in,2022-11-01,2022-11-01 08:00:00
184,08:30:00,82,75,79,7,6, 0 mph,29.82, 0.0 in,2022-11-01,2022-11-01 08:30:00
185,09:00:00,84,75,74,4,6, 0 mph,29.82, 0.0 in,2022-11-01,2022-11-01 09:00:00
186,09:30:00,84,77,79,4,5, 0 mph,29.82, 0.0 in,2022-11-01,2022-11-01 09:30:00
187,10:00:00,86,77,74,4,6, 0 mph,29.82, 0.0 in,2022-11-01,2022-11-01 10:00:00
188,10:30:00,86,75,70,4,5, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 10:30:00
189,11:00:00,88,77,70,14,3, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 11:00:00
190,11:30:00,88,75,66,14,6, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 11:30:00
191,12:00:00,90,77,66,14,6, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 12:00:00
192,12:30:00,90,77,66,14,3, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 12:30:00
193,13:00:00,90,75,62,4,7, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 13:00:00
194,13:30:00,90,73,59,14,3, 0 mph,29.7, 0.0 in,2022-11-01,2022-11-01 13:30:00
195,14:00:00,90,73,59,14,3, 0 mph,29.7, 0.0 in,2022-11-01,2022-11-01 14:00:00
196,14:30:00,90,73,59,14,3, 0 mph,29.67, 0.0 in,2022-11-01,2022-11-01 14:30:00
197,15:00:00,88,73,62,7,5, 0 mph,29.67, 0.0 in,2022-11-01,2022-11-01 15:00:00
198,15:30:00,88,73,62,7,5, 0 mph,29.67, 0.0 in,2022-11-01,2022-11-01 15:30:00
199,16:00:00,88,73,62,4,5, 0 mph,29.67, 0.0 in,2022-11-01,2022-11-01 16:00:00
200,16:30:00,88,72,58,14,3, 0 mph,29.7, 0.0 in,2022-11-01,2022-11-01 16:30:00
201,17:00:00,84,79,84,1,8, 0 mph,29.7, 0.0 in,2022-11-01,2022-11-01 17:00:00
202,17:30:00,82,79,89,3,9, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 17:30:00
203,18:00:00,82,79,89,3,7, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 18:00:00
204,18:30:00,82,79,89,10,6, 0 mph,29.73, 0.0 in,2022-11-01,2022-11-01 18:30:00
205,19:00:00,81,77,89,10,7, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 19:00:00
206,19:30:00,81,77,89,10,6, 0 mph,29.76, 0.0 in,2022-11-01,2022-11-01 19:30:00
207,20:00:00,82,77,84,14,3, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 20:00:00
208,20:30:00,81,79,94,14,3, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 20:30:00
209,21:00:00,81,79,94,3,3, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 21:00:00
210,21:30:00,81,77,89,3,6, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 21:30:00
211,22:00:00,81,77,89,14,3, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 22:00:00
212,22:30:00,81,77,89,14,2, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 22:30:00
213,23:00:00,81,77,89,10,6, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 23:00:00
214,23:30:00,79,77,94,3,6, 0 mph,29.79, 0.0 in,2022-11-01,2022-11-01 23:30:00
215,00:00:00,79,72,78,4,5, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 00:00:00
216,00:30:00,79,72,78,6,6, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 00:30:00
217,01:00:00,77,72,83,6,5, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 01:00:00
218,01:30:00,77,72,83,4,6, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 01:30:00
219,02:00:00,77,72,83,4,6, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 02:00:00
220,02:30:00,77,72,83,4,5, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 02:30:00
221,03:00:00,75,72,89,6,6, 0 mph,29.67, 0.0 in,2022-10-31,2022-10-31 03:00:00
222,03:30:00,75,73,94,4,5, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 03:30:00
223,04:00:00,75,73,94,14,2, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 04:00:00
224,04:30:00,75,73,94,4,5, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 04:30:00
225,05:00:00,75,73,94,4,6, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 05:00:00
226,05:30:00,75,73,94,7,2, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 05:30:00
227,06:00:00,75,73,94,6,5, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 06:00:00
228,06:30:00,77,73,89,6,7, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 06:30:00
229,07:00:00,77,73,89,6,7, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 07:00:00
230,07:30:00,81,73,79,4,6, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 07:30:00
231,08:00:00,82,73,74,6,7, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 08:00:00
232,08:30:00,84,73,70,6,7, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 08:30:00
233,09:00:00,86,73,66,6,8, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 09:00:00
234,09:30:00,86,72,62,6,7, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 09:30:00
235,10:00:00,88,72,58,4,8, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 10:00:00
236,10:30:00,88,70,55,6,10, 0 mph,29.76, 0.0 in,2022-10-31,2022-10-31 10:30:00
237,11:00:00,90,70,52,6,8, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 11:00:00
238,11:30:00,90,72,55,4,8, 0 mph,29.73, 0.0 in,2022-10-31,2022-10-31 11:30:00
239,12:00:00,90,70,52,4,8, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 12:00:00
240,12:30:00,91,68,46,7,6, 18 mph,29.7, 0.0 in,2022-10-31,2022-10-31 12:30:00
241,13:00:00,91,66,43,7,6, 18 mph,29.67, 0.0 in,2022-10-31,2022-10-31 13:00:00
242,13:30:00,91,70,49,4,7, 0 mph,29.67, 0.0 in,2022-10-31,2022-10-31 13:30:00
243,14:00:00,93,70,46,7,7, 0 mph,29.67, 0.0 in,2022-10-31,2022-10-31 14:00:00
244,14:30:00,91,68,46,8,6, 0 mph,29.64, 0.0 in,2022-10-31,2022-10-31 14:30:00
245,15:00:00,91,68,46,7,7, 0 mph,29.64, 0.0 in,2022-10-31,2022-10-31 15:00:00
246,15:30:00,91,68,46,8,6, 0 mph,29.64, 0.0 in,2022-10-31,2022-10-31 15:30:00
247,16:00:00,90,70,52,8,5, 0 mph,29.64, 0.0 in,2022-10-31,2022-10-31 16:00:00
248,16:30:00,90,70,52,7,6, 0 mph,29.67, 0.0 in,2022-10-31,2022-10-31 16:30:00
249,17:00:00,88,72,58,7,6, 0 mph,29.67, 0.0 in,2022-10-31,2022-10-31 17:00:00
250,17:30:00,88,70,55,14,3, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 17:30:00
251,18:00:00,86,72,62,8,5, 0 mph,29.7, 0.0 in,2022-10-31,2022-10-31 18:00:00
